"Maakond","Aasta","Heitvesi","Puhastamist vajav heitvesi","Puhastamata heitvesi","Puhastatud heitvesi","I astme puhastusega heitvesi","II astme puhastusega heitvesi","III astme puhastusega heitvesi","Määratlemata puhastusega heitvesi","Ebapiisavalt puhastatud heitvesi"
"Valga maakond","2005",1358,1358,2,1356,2,1354,..,..,234
"Valga maakond","2006",1173,1173,5,1169,1,375,793,..,..
"Valga maakond","2007",1375,1375,2,1373,..,200,1173,..,..
"Valga maakond","2008",1458,1458,..,1458,..,214,1244,..,..
"Valga maakond","2009",1303,1303,12,1291,..,178,1112,..,..
"Valga maakond","2010",1228,1228,0,1228,0,243,984,..,..
"Valga maakond","2011",1155,1143,0,1143,0,238,905,..,..
"Valga maakond","2012",1298,1298,0,1298,17,223,1058,..,..
"Valga maakond","2013",1495,1487,87,1400,72,199,1128,..,..
"Valga maakond","2014",1182,1174,0,1174,41,161,972,..,..
"Valga maakond","2015",1242,1231,0,1231,71,141,1020,..,..
"Valga maakond","2016",1357,1346,0,1346,82,145,1119,..,..
"Valga maakond","2017",1373,1363,0,1363,89,85,1188,..,..
"Valga maakond","2018",1362,1350,0,1350,182,105,1063,..,..
"Valga maakond","2019",1473,1465,77,1388,119,95,1174,..,..
"Valga maakond","2020",2071,2064,21,2043,790,65,1188,..,..
"Valga maakond","2021",2236,2223,0,2223,976,66,1180,..,..
"Valga maakond","2022",2277,2264,12,2252,986,59,1208,..,..
"Valga maakond","2023",2370,2332,0,2332,994,58,1279,..,..
"Viljandi maakond","1994",3701,3689,758,2931,..,2931,..,..,957
"Viljandi maakond","1995",3495,3444,727,2717,..,2715,..,2,445
"Viljandi maakond","1996",2906,2895,424,2471,..,2471,..,..,320
"Viljandi maakond","1997",2757,2757,409,2348,..,2348,..,..,411
"Viljandi maakond","1998",2347,2347,335,2012,5,2007,..,..,93
"Viljandi maakond","1999",2072,2072,315,1757,3,1754,..,..,74
"Viljandi maakond","2000",1826,1826,293,1533,2,1531,..,..,84
"Viljandi maakond","2001",1713,1713,281,1432,2,1430,..,..,197
"Viljandi maakond","2002",1682,1682,273,1409,0,1409,..,..,135
"Viljandi maakond","2003",1503,1503,249,1254,1,1253,0,..,107
"Viljandi maakond","2004",1493,1493,286,1207,1,1206,..,..,750
"Viljandi maakond","2005",2333,2216,4,2213,1,590,1621,..,131
"Viljandi maakond","2006",2062,2062,3,2058,1,474,1584,..,..
"Viljandi maakond","2007",2330,2330,1,2329,1,469,1859,..,..
"Viljandi maakond","2008",2620,2618,..,2618,6,424,2188,..,..
"Viljandi maakond","2009",2456,2447,..,2447,6,383,2058,..,..
"Viljandi maakond","2010",2309,2309,0,2309,4,398,1907,..,..
"Viljandi maakond","2011",2258,2258,0,2258,20,409,1829,..,..
"Viljandi maakond","2012",2472,2464,0,2464,4,315,2146,..,..
"Viljandi maakond","2013",2173,2164,0,2164,39,316,1810,..,..
"Viljandi maakond","2014",2477,2308,0,2308,97,421,1790,..,..
"Viljandi maakond","2015",2545,2283,0,2283,93,333,1857,..,..
"Viljandi maakond","2016",3918,2415,0,2415,110,351,1954,..,..
"Viljandi maakond","2017",3967,2450,0,2450,108,321,2021,..,..
"Viljandi maakond","2018",4214,2373,0,2373,185,267,1920,..,..
"Viljandi maakond","2019",4631,3232,570,2663,557,108,1999,..,..
"Viljandi maakond","2020",4068,2865,174,2691,382,116,2193,..,..
"Viljandi maakond","2021",5254,2937,225,2711,443,90,2179,..,..
"Viljandi maakond","2022",4788,2700,198,2502,380,87,2035,..,..
"Viljandi maakond","2023",5012,2696,0,2696,501,78,2118,..,..
"Võru maakond","1994",2247,2089,82,2007,4,2003,..,..,264
"Võru maakond","1995",2264,2130,79,2051,3,2048,..,..,76
"Võru maakond","1996",2742,2626,73,2553,2,2551,..,..,37
"Võru maakond","1997",2763,2654,42,2612,5,2581,26,..,283
"Võru maakond","1998",2346,2247,25,2222,3,671,1548,..,281
"Võru maakond","1999",2031,1933,33,1900,2,653,1245,..,294
"Võru maakond","2000",1902,1734,60,1674,1,569,1104,..,221
"Võru maakond","2001",1968,1736,39,1697,..,422,1275,..,80
"Võru maakond","2002",3051,1549,35,1514,3,376,1135,..,59
"Võru maakond","2003",7383,1851,29,1822,10,333,1479,..,41
"Võru maakond","2004",14018,1918,4,1914,6,345,1563,..,253
"Võru maakond","2005",1723,1902,5,1897,1,364,1531,..,91
"Võru maakond","2006",1851,1707,..,1707,6,306,1395,..,..
"Võru maakond","2007",2022,1837,..,1837,6,337,1494,..,..
"Võru maakond","2008",2211,2082,..,2082,1,332,1750,..,..
"Võru maakond","2009",2270,2097,..,2097,1,326,1769,..,..
"Võru maakond","2010",2294,2255,0,2255,6,324,1925,..,..
"Võru maakond","2011",2031,1975,0,1975,6,259,1709,..,..
"Võru maakond","2012",2151,2151,0,2151,7,308,1836,..,..
"Võru maakond","2013",1802,1802,0,1802,5,273,1525,..,..
"Võru maakond","2014",1738,1733,0,1733,1,285,1447,..,..
"Võru maakond","2015",1769,1735,0,1735,7,233,1495,..,..
"Võru maakond","2016",2057,1977,0,1977,9,322,1646,..,..
"Võru maakond","2017",2150,2018,15,2002,37,316,1650,..,..
"Võru maakond","2018",1827,1765,25,1740,43,246,1451,..,..
"Võru maakond","2019",2996,2719,660,2059,72,207,1780,..,..
"Võru maakond","2020",3263,2396,439,1957,129,89,1739,..,..
"Võru maakond","2021",3163,2249,137,2113,170,92,1851,..,..
"Võru maakond","2022",3048,2158,125,2033,135,105,1793,..,..
"Võru maakond","2023",3452,2332,0,2332,163,86,2083,..,..
