"Maakond","Aasta","Kokku","Okkakahjurid","Lehekahjurid","Tüvekahjurid","Muud metsakahjurid","Juuremädanikud","Männikoorepõletik","Muud metsahaigused","Ebasoodne veerežiim","Ebasoodsad ilmaolud","Ulukite tekitatud mehaanilised kahjustused","Tuuleheide ja -murd","Metsatulekahjud","Inimtegevus","Muud põhjused"
"Valga maakond","1999",1060.9,0.0,24.9,..,..,242.6,0.0,..,62.5,..,665.3,7.3,42.9,0.0,15.4
"Valga maakond","2000",816.6,0.0,24.9,..,..,57.2,0.0,..,67.0,..,635.7,7.2,13.9,0.0,10.7
"Valga maakond","2001",885.1,0.0,24.9,..,..,42.0,0.0,..,78.9,..,603.6,58.7,3.2,0.0,73.8
"Valga maakond","2002",104.6,0.0,0.0,..,..,32.1,0.0,..,4.0,..,4.9,45.8,9.5,..,8.3
"Valga maakond","2003",226.2,0.3,0.0,..,..,33.5,0.0,..,63.2,..,65.2,5.6,1.6,..,56.8
"Valga maakond","2004",170.6,0.0,0.0,..,..,49.0,0.0,..,15.1,..,57.1,26.7,3.1,..,19.6
"Valga maakond","2005",3720.5,0.0,0.0,..,..,8.2,0.0,..,3.3,..,4.3,3695.6,7.6,..,1.5
"Valga maakond","2006",571.1,0.0,0.0,..,..,14.2,0.0,..,12.3,..,60.2,453.7,13.2,..,17.5
"Valga maakond","2007",346.9,25.5,0.0,..,..,7.1,0.0,..,18.1,..,161.2,103.6,4.8,..,26.6
"Valga maakond","2008",181.4,2.7,0.0,..,..,29.1,..,..,11.9,..,88.0,47.8,1.1,..,0.8
"Valga maakond","2009",150.7,0.0,0.0,..,..,24.3,..,..,12.6,..,73.9,30.8,0.0,..,9.1
"Valga maakond","2010",442.1,0.0,0.0,..,..,22.8,..,..,8.8,..,23.5,365.5,4.2,..,17.3
"Valga maakond","2011",244.9,0.0,0.0,..,..,16.1,..,..,20.4,..,77.0,103.3,0.0,..,28.1
"Valga maakond","2012",400.3,0.0,78.7,..,..,18.9,..,..,32.6,..,161.0,65.4,0.0,..,43.7
"Valga maakond","2013",341.4,0.7,0.0,..,..,40.0,..,..,29.2,..,95.4,133.5,2.2,..,40.4
"Valga maakond","2014",594.5,12.7,0.0,..,..,27.3,..,..,23.8,..,323.2,92.8,1.1,..,113.6
"Valga maakond","2015",401.2,0.0,0.6,..,..,23.2,..,..,33.2,..,207.1,58.3,6.0,..,72.8
"Valga maakond","2016",2775.8,0.0,0.0,..,..,52.0,..,..,13.9,..,108.2,2508.8,40.6,..,52.3
"Valga maakond","2017",526.5,0.0,0.0,..,..,29.2,..,..,22.0,..,131.4,280.3,32.1,..,31.6
"Valga maakond","2018",147.6,0.0,0.0,..,..,9.7,..,..,16.0,..,37.2,44.9,0.0,..,39.9
"Valga maakond","2019",527.2,0.0,0.0,..,..,2.5,..,..,18.6,..,39.2,178.4,1.1,..,287.3
"Valga maakond","2020",408.3,0.0,0.0,..,..,5.7,..,..,8.1,..,24.0,149.6,0.0,..,220.9
"Valga maakond","2021",249.0,0.0,0.0,..,..,4.9,..,..,11.7,..,12.4,41.7,0.0,..,178.4
"Valga maakond","2022",671.6,0.0,0.0,..,..,4.1,..,..,19.7,..,56.1,36.3,0.0,..,555.4
"Valga maakond","2023",441.4,0.0,1.4,..,..,0.4,..,..,4.8,..,26.5,35.8,0.0,..,372.6
"Viljandi maakond","1991",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Viljandi maakond","1992",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Viljandi maakond","1993",1926.9,0.0,0.0,97.5,13.3,..,..,246.2,..,..,1569.9,..,..,..,..
"Viljandi maakond","1994",1657.1,0.0,0.9,165.3,9.9,..,..,147.4,..,73.4,1256.9,..,0.0,3.3,0.0
"Viljandi maakond","1995",1703.8,0.0,0.0,137.1,18.6,..,..,120.5,..,59.6,1364.7,..,0.0,3.3,0.0
"Viljandi maakond","1996",1498.9,0.0,0.0,69.7,91.2,..,..,121.7,..,50.4,1155.0,..,0.0,10.9,0.0
"Viljandi maakond","1997",633.8,0.0,0.0,10.0,101.5,..,..,111.0,..,3.3,401.0,..,0.0,7.0,0.0
"Viljandi maakond","1998",456.1,0.0,0.0,..,..,40.9,0.0,..,18.4,..,375.5,17.4,0.0,0.0,3.9
"Viljandi maakond","1999",936.9,0.0,0.0,..,..,61.9,0.0,..,43.3,..,758.8,63.3,0.0,0.0,9.6
"Viljandi maakond","2000",637.8,0.0,0.0,..,..,44.3,0.0,..,42.6,..,507.1,19.7,2.4,0.0,21.7
"Viljandi maakond","2001",739.5,0.0,0.0,..,..,38.7,0.0,..,25.4,..,600.3,42.3,0.0,0.0,32.8
"Viljandi maakond","2002",121.6,0.0,0.0,..,..,36.6,0.0,..,28.2,..,17.4,20.9,9.6,..,8.9
"Viljandi maakond","2003",178.8,0.0,0.0,..,..,76.6,0.0,..,10.1,..,38.0,8.9,0.0,..,45.2
"Viljandi maakond","2004",605.9,0.0,1.3,..,..,76.6,0.0,..,105.9,..,373.5,15.3,10.4,..,22.9
"Viljandi maakond","2005",2886.9,0.0,0.0,..,..,65.4,0.0,..,53.4,..,67.3,2688.9,0.0,..,11.9
"Viljandi maakond","2006",3942.0,14.1,1.0,..,..,226.9,0.0,..,118.5,..,66.1,3437.6,2.0,..,75.8
"Viljandi maakond","2007",1498.1,4.4,0.6,..,..,189.0,0.0,..,19.7,..,200.8,562.1,0.2,..,521.3
"Viljandi maakond","2008",987.5,4.2,0.0,..,..,241.6,..,..,166.5,..,33.5,265.9,1.3,..,274.5
"Viljandi maakond","2009",841.0,5.2,4.0,..,..,55.6,..,..,30.2,..,139.0,116.9,2.5,..,487.6
"Viljandi maakond","2010",783.2,4.0,0.0,..,..,64.8,..,..,32.8,..,42.7,354.2,0.0,..,284.7
"Viljandi maakond","2011",607.9,1.3,1.3,..,..,42.5,..,..,71.6,..,55.3,225.2,0.0,..,210.7
"Viljandi maakond","2012",716.6,0.8,44.9,..,..,176.4,..,..,44.3,..,94.2,213.3,0.0,..,142.7
"Viljandi maakond","2013",915.7,0.0,1.5,..,..,60.2,..,..,15.8,..,185.6,517.7,0.0,..,134.9
"Viljandi maakond","2014",1128.1,0.0,0.0,..,..,42.9,..,..,6.1,..,554.7,319.4,0.9,..,204.1
"Viljandi maakond","2015",616.7,0.0,0.2,..,..,27.5,..,..,8.6,..,363.0,176.3,0.0,..,41.1
"Viljandi maakond","2016",477.0,0.0,1.1,..,..,28.6,..,..,8.3,..,349.5,53.0,0.7,..,35.8
"Viljandi maakond","2017",320.7,0.0,1.3,..,..,18.7,..,..,8.9,..,160.5,85.7,0.0,..,45.6
"Viljandi maakond","2018",222.6,0.0,0.0,..,..,11.4,..,..,5.9,..,144.1,24.1,5.1,..,32.1
"Viljandi maakond","2019",154.6,0.0,0.0,..,..,0.0,..,..,12.9,..,84.1,13.3,1.2,..,43.2
"Viljandi maakond","2020",252.1,0.0,0.0,..,..,0.0,..,..,9.0,..,110.3,62.5,5.8,..,64.5
"Viljandi maakond","2021",149.7,0.0,0.0,..,..,0.0,..,..,1.7,..,65.0,24.8,0.0,..,58.2
"Viljandi maakond","2022",210.4,0.0,0.0,..,..,3.2,..,..,1.7,..,78.7,24.4,0.0,..,102.5
"Viljandi maakond","2023",259.4,0.0,0.0,..,..,1.8,..,..,3.0,..,46.9,6.3,10.2,..,191.2
"Võru maakond","1991",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Võru maakond","1992",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Võru maakond","1993",814.6,0.0,122.6,155.3,50.0,..,..,1.7,..,..,485.0,..,..,..,..
"Võru maakond","1994",856.4,0.0,122.6,130.1,52.9,..,..,6.7,..,37.8,493.3,..,10.2,2.8,0.0
"Võru maakond","1995",1490.8,0.0,127.9,192.4,318.1,..,..,0.2,..,48.5,786.2,..,3.0,2.8,11.7
"Võru maakond","1996",1232.5,0.0,127.9,67.4,142.2,..,..,0.2,..,12.4,859.9,..,12.3,0.9,9.3
"Võru maakond","1997",775.4,11.2,37.5,64.0,148.6,..,..,0.2,..,32.5,471.7,..,7.2,2.5,0.0
"Võru maakond","1998",684.2,11.2,31.2,..,..,60.1,0.0,..,129.9,..,382.6,64.6,4.4,0.0,0.2
"Võru maakond","1999",735.3,22.4,57.2,..,..,71.7,0.0,..,164.4,..,360.8,46.6,12.0,0.0,0.2
"Võru maakond","2000",595.1,11.2,23.3,..,..,65.3,0.0,..,161.5,..,313.2,13.6,7.0,0.0,0.0
"Võru maakond","2001",882.6,11.2,23.3,..,..,102.5,0.0,..,356.0,..,297.0,59.1,9.7,0.0,23.8
"Võru maakond","2002",168.6,0.0,0.0,..,..,77.5,0.0,..,24.5,..,15.6,14.4,24.9,..,11.7
"Võru maakond","2003",644.8,0.0,0.0,..,..,235.1,0.0,..,35.5,..,215.8,71.1,0.8,..,86.5
"Võru maakond","2004",146.7,0.0,0.0,..,..,62.1,0.0,..,25.0,..,23.2,15.6,0.0,..,20.8
"Võru maakond","2005",5045.1,3.6,0.0,..,..,161.7,0.0,..,30.4,..,142.7,4653.6,4.7,..,48.4
"Võru maakond","2006",759.4,10.4,3.5,..,..,54.7,0.0,..,35.6,..,89.8,493.0,14.5,..,57.9
"Võru maakond","2007",435.8,0.0,1.9,..,..,70.3,0.0,..,16.3,..,31.7,267.0,7.6,..,41.0
"Võru maakond","2008",510.2,1.9,2.5,..,..,91.5,..,..,36.2,..,168.4,186.8,0.8,..,22.1
"Võru maakond","2009",242.4,0.0,0.0,..,..,17.5,..,..,14.6,..,64.7,76.6,9.1,..,59.9
"Võru maakond","2010",442.7,1.5,0.0,..,..,38.3,..,..,18.7,..,79.4,258.2,0.0,..,46.6
"Võru maakond","2011",408.1,1.9,0.0,..,..,33.6,..,..,26.5,..,181.5,83.0,0.3,..,81.3
"Võru maakond","2012",433.6,2.4,0.2,..,..,32.2,..,..,18.3,..,233.8,64.4,0.0,..,82.3
"Võru maakond","2013",300.4,5.9,0.9,..,..,53.2,..,..,15.1,..,77.3,44.1,1.9,..,102.0
"Võru maakond","2014",478.4,2.7,0.0,..,..,58.4,..,..,59.2,..,212.6,37.2,15.4,..,92.9
"Võru maakond","2015",147.9,0.0,0.0,..,..,10.6,..,..,30.3,..,72.1,20.0,0.0,..,14.9
"Võru maakond","2016",671.6,2.0,0.0,..,..,15.1,..,..,7.6,..,105.6,525.1,0.0,..,16.2
"Võru maakond","2017",343.5,0.0,0.0,..,..,30.1,..,..,10.0,..,149.4,117.4,1.0,..,35.7
"Võru maakond","2018",128.0,0.0,0.0,..,..,20.8,..,..,24.9,..,29.9,26.2,1.6,..,24.7
"Võru maakond","2019",296.5,0.0,0.0,..,..,3.6,..,..,24.4,..,68.6,121.2,0.2,..,78.5
"Võru maakond","2020",299.9,0.0,0.0,..,..,12.0,..,..,21.8,..,43.7,166.6,0.3,..,55.6
"Võru maakond","2021",207.6,0.2,0.0,..,..,2.9,..,..,22.2,..,24.6,43.2,1.1,..,113.4
"Võru maakond","2022",552.5,0.6,0.0,..,..,6.4,..,..,15.1,..,33.9,46.9,0.1,..,449.4
"Võru maakond","2023",1075.9,0.8,2.4,..,..,4.5,..,..,4.5,..,15.1,646.3,0.0,..,402.3
