"Aasta","Taimekaitsevahend","Kogus","Kogus põllumajandusmaa hektari kohta","Kogus haritava maa hektari kohta","Kogus töödeldud hektari kohta"
"2007","Molluskitsiidid",..,..,..,..
"2008","Taimekaitsevahendid kokku",864266.33,0.95,1.08,..
"2008","Putukatõrjevahendid",43720.42,0.05,0.05,..
"2008","Seenhaiguste tõrjevahendid",81943.86,0.09,0.10,..
"2008","Umbrohutõrjevahendid",682188.30,0.75,0.85,..
"2008","Puhtimispreparaadid",11727.18,0.01,0.02,..
"2008","Kasvuregulaatorid",43640.40,0.05,0.05,..
"2008","Desikandid",1046.17,0.00,0.00,..
"2008","Molluskitsiidid",..,..,..,..
"2009","Taimekaitsevahendid kokku",685896.52,0.74,0.86,..
"2009","Putukatõrjevahendid",37464.60,0.04,0.05,..
"2009","Seenhaiguste tõrjevahendid",74144.68,0.08,0.09,..
"2009","Umbrohutõrjevahendid",537445.71,0.58,0.67,..
"2009","Puhtimispreparaadid",9442.34,0.01,0.01,..
"2009","Kasvuregulaatorid",25902.77,0.03,0.03,..
"2009","Desikandid",1496.43,0.00,0.00,..
"2009","Molluskitsiidid",..,..,..,..
"2010","Taimekaitsevahendid kokku",811400.13,0.86,0.97,..
"2010","Putukatõrjevahendid",34091.23,0.04,0.04,..
"2010","Seenhaiguste tõrjevahendid",115530.41,0.12,0.14,..
"2010","Umbrohutõrjevahendid",630951.68,0.67,0.75,..
"2010","Puhtimispreparaadid",7626.22,0.01,0.01,..
"2010","Kasvuregulaatorid",20126.17,0.02,0.02,..
"2010","Desikandid",3074.42,0.00,0.00,..
"2010","Molluskitsiidid",..,..,..,..
"2011","Taimekaitsevahendid kokku",804214.47,0.85,1.00,..
"2011","Putukatõrjevahendid",50120.43,0.05,0.06,..
"2011","Seenhaiguste tõrjevahendid",92812.88,0.10,0.12,..
"2011","Umbrohutõrjevahendid",635321.97,0.67,0.79,..
"2011","Puhtimispreparaadid",..,..,..,..
"2011","Kasvuregulaatorid",25938.80,0.03,0.03,..
"2011","Desikandid",..,..,..,..
"2011","Molluskitsiidid",20.38,0.00,0.00,..
"2012","Taimekaitsevahendid kokku",691907.93,0.72,0.85,..
"2012","Putukatõrjevahendid",48253.07,0.05,0.06,..
"2012","Seenhaiguste tõrjevahendid",112745.82,0.12,0.14,..
"2012","Umbrohutõrjevahendid",505197.42,0.53,0.62,..
"2012","Puhtimispreparaadid",..,..,..,..
"2012","Kasvuregulaatorid",25573.55,0.03,0.03,..
"2012","Desikandid",..,..,..,..
"2012","Molluskitsiidid",138.08,0.00,0.00,..
"2013","Taimekaitsevahendid kokku",810710.28,0.84,0.95,..
"2013","Putukatõrjevahendid",58312.41,0.06,0.07,..
"2013","Seenhaiguste tõrjevahendid",148216.56,0.15,0.17,..
"2013","Umbrohutõrjevahendid",580741.16,0.60,0.68,..
"2013","Puhtimispreparaadid",..,..,..,..
"2013","Kasvuregulaatorid",23311.37,0.02,0.03,..
"2013","Desikandid",..,..,..,..
"2013","Molluskitsiidid",128.78,0.00,0.00,..
"2014","Taimekaitsevahendid kokku",889616.07,0.91,1.04,..
"2014","Putukatõrjevahendid",57162.97,0.06,0.07,..
"2014","Seenhaiguste tõrjevahendid",174095.47,0.18,0.20,..
"2014","Umbrohutõrjevahendid",621207.51,0.64,0.73,..
"2014","Puhtimispreparaadid",..,..,..,..
"2014","Kasvuregulaatorid",36862.67,0.04,0.04,..
"2014","Desikandid",..,..,..,..
"2014","Molluskitsiidid",287.46,0.00,0.00,..
"2015","Taimekaitsevahendid kokku",963928.12,0.97,1.11,..
"2015","Putukatõrjevahendid",49313.41,0.05,0.06,..
"2015","Seenhaiguste tõrjevahendid",209380.08,0.21,0.24,..
"2015","Umbrohutõrjevahendid",640760.69,0.65,0.74,..
"2015","Puhtimispreparaadid",..,..,..,..
"2015","Kasvuregulaatorid",64473.93,0.07,0.07,..
"2015","Desikandid",..,..,..,..
"2015","Molluskitsiidid",..,..,..,..
"2020","Taimekaitsevahendid kokku",1707561.19,1.73,2.46,..
"2020","Putukatõrjevahendid",36301.38,0.04,0.05,..
"2020","Seenhaiguste tõrjevahendid",370176.15,0.38,0.53,..
"2020","Umbrohutõrjevahendid",956071.42,0.97,1.38,..
"2020","Puhtimispreparaadid",..,..,..,..
"2020","Kasvuregulaatorid",341723.69,0.35,0.49,..
"2020","Desikandid",..,..,..,..
"2020","Molluskitsiidid",3288.55,0.00,0.00,..
