"Maakond","Aasta","Kokku","Putukakahjustused","Metsloomakahjustused","Metsahaigused","Inim- ja majandustegevus","Ebasoodne veerežiim","Tuuleheide ja -murd","Metsatulekahjud","Muud kahjustused"
"Tartu maakond","2005",295.4,0.0,19.3,57.2,..,8.5,181.1,0.0,29.3
"Tartu maakond","2006",173.7,0.0,31.0,34.1,..,37.8,44.3,3.5,23.0
"Tartu maakond","2007",113.1,0.8,..,46.1,..,18.7,14.1,0.1,33.3
"Tartu maakond","2008",180.4,0.4,24.1,91.6,..,29.6,5.6,0.0,29.1
"Tartu maakond","2009",68.2,1.4,3.8,43.7,..,4.4,12.4,0.2,2.3
"Tartu maakond","2010",170.2,2.0,6.9,48.7,..,6.1,106.5,0.0,0.0
"Tartu maakond","2011",82.1,8.7,7.4,28.5,..,3.1,25.3,0.0,9.1
"Tartu maakond","2012",137.6,45.4,5.9,50.4,..,0.2,25.8,..,9.9
"Tartu maakond","2013",64.9,7.8,9.8,28.8,..,0.7,17.8,..,..
"Tartu maakond","2014",120.1,7.7,33.4,35.7,..,5.9,35.7,..,1.7
"Tartu maakond","2015",111.9,4.7,57.3,28.4,..,10.7,8.9,..,1.9
"Tartu maakond","2016",311.9,1.2,52.6,42.3,..,7.3,208.5,..,..
"Tartu maakond","2017",121.7,1.9,73.2,35.5,..,3.6,7.5,..,..
"Tartu maakond","2018",40.3,2.6,13.4,13.0,..,8.3,1.0,2.0,..
"Tartu maakond","2019",118.6,55.0,11.9,42.1,..,2.8,6.8,..,..
"Tartu maakond","2020",120.0,39.9,23.7,38.0,..,4.7,13.7,..,..
"Tartu maakond","2021",182.1,68.6,18.1,31.9,..,2.3,60.7,0.1,0.4
"Tartu maakond","2022",359.0,246.9,30.9,22.4,..,0.7,56.2,0.0,2.0
"Tartu maakond","2023",280.7,231.2,18.8,18.4,..,2.0,10.5,0.0,0.0
"Valga maakond","1991",..,..,..,..,..,..,..,..,..
"Valga maakond","1992",..,..,..,..,..,..,..,..,..
"Valga maakond","1993",104.9,39.0,58.2,0.0,0.0,..,0.0,2.9,4.8
"Valga maakond","1994",31.9,23.8,2.5,1.2,0.0,..,..,0.7,3.7
"Valga maakond","1995",38.7,27.6,4.6,0.5,0.4,0.0,0.0,5.6,0.0
"Valga maakond","1996",33.8,5.4,21.6,0.0,0.0,..,..,4.5,2.3
"Valga maakond","1997",50.9,22.9,15.0,1.5,0.0,..,..,11.5,0.0
"Valga maakond","1998",25.9,0.0,1.8,0.0,..,0.0,16.7,7.4,0.0
"Valga maakond","1999",21.3,0.0,8.0,0.0,0.0,0.7,5.0,7.6,0.0
"Valga maakond","2000",50.6,0.0,11.5,28.2,0.0,3.4,7.5,0.0,0.0
"Valga maakond","2001",96.3,0.0,20.1,12.7,0.0,13.9,46.8,2.8,0.0
"Valga maakond","2002",43.3,0.0,2.0,11.0,..,1.0,24.1,2.2,3.0
"Valga maakond","2003",83.0,0.0,28.2,9.4,..,6.5,6.0,0.0,32.9
"Valga maakond","2004",26.8,0.0,7.8,3.3,..,4.8,10.1,0.0,0.8
"Valga maakond","2005",276.2,0.0,13.4,8.3,..,0.0,251.8,1.7,1.0
"Valga maakond","2006",76.0,0.0,6.7,6.7,..,8.2,44.2,5.4,4.8
"Valga maakond","2007",121.4,12.2,..,3.2,..,23.7,43.6,1.0,37.7
"Valga maakond","2008",85.0,14.9,29.1,12.3,..,11.6,11.8,3.1,2.2
"Valga maakond","2009",104.8,9.1,36.9,10.7,..,23.1,17.4,0.0,7.6
"Valga maakond","2010",155.5,9.6,20.0,28.3,..,15.8,74.6,0.0,7.2
"Valga maakond","2011",96.4,8.0,3.4,30.8,..,22.4,27.2,3.2,1.4
"Valga maakond","2012",126.3,4.7,22.0,23.4,..,37.4,35.7,0.2,2.9
"Valga maakond","2013",149.9,6.6,18.5,39.0,..,20.1,64.2,0.3,1.2
"Valga maakond","2014",207.9,3.0,85.9,21.6,..,34.3,59.3,1.2,2.6
"Valga maakond","2015",202.4,3.4,125.0,13.5,..,22.9,32.0,4.6,1.0
"Valga maakond","2016",1323.3,4.0,65.4,32.4,..,16.7,1201.6,2.5,0.7
"Valga maakond","2017",256.5,5.2,62.4,20.5,..,16.5,150.3,..,1.6
"Valga maakond","2018",98.6,5.5,27.7,11.9,..,11.3,42.0,..,0.2
"Valga maakond","2019",204.0,89.7,16.0,4.5,..,11.4,76.0,1.1,5.3
"Valga maakond","2020",192.0,93.7,15.1,8.9,..,4.0,70.4,..,..
"Valga maakond","2021",112.1,66.5,6.9,5.8,..,3.4,28.8,0.0,0.7
"Valga maakond","2022",406.0,336.7,44.3,2.5,..,8.0,12.2,0.0,2.3
"Valga maakond","2023",253.4,222.4,16.5,0.4,..,1.2,13.0,0.0,0.0
"Viljandi maakond","1991",..,..,..,..,..,..,..,..,..
"Viljandi maakond","1992",..,..,..,..,..,..,..,..,..
"Viljandi maakond","1993",56.0,17.1,7.1,19.0,0.0,..,1.3,0.0,11.5
"Viljandi maakond","1994",71.1,36.8,17.5,0.0,12.2,..,..,0.0,4.6
"Viljandi maakond","1995",61.2,11.6,16.9,0.0,5.2,..,..,1.8,25.7
"Viljandi maakond","1996",28.0,5.0,12.5,0.0,0.9,..,..,0.0,9.6
"Viljandi maakond","1997",32.4,7.0,12.6,0.0,1.0,..,..,0.0,11.8
"Viljandi maakond","1998",70.1,0.0,7.0,27.1,..,4.4,31.6,0.0,0.0
"Viljandi maakond","1999",41.2,0.0,13.0,5.0,0.0,0.0,23.2,0.0,0.0
"Viljandi maakond","2000",78.6,0.0,34.9,20.9,0.0,8.8,14.0,0.0,0.0
"Viljandi maakond","2001",270.2,0.0,63.4,96.1,0.0,0.0,110.7,0.0,0.0
"Viljandi maakond","2002",81.9,0.0,18.0,37.9,..,0.0,17.1,0.0,8.9
"Viljandi maakond","2003",181.1,0.0,52.4,74.8,..,0.0,10.7,0.0,43.2
"Viljandi maakond","2004",159.0,1.3,60.7,57.5,..,1.5,26.9,0.0,11.1
"Viljandi maakond","2005",472.0,0.0,2.0,0.0,..,0.0,470.0,0.0,0.0
"Viljandi maakond","2006",266.1,0.0,15.3,39.4,..,40.1,124.8,0.0,46.5
"Viljandi maakond","2007",294.8,107.5,..,48.4,..,9.4,84.8,0.0,44.7
"Viljandi maakond","2008",225.1,73.3,9.7,64.8,..,8.2,59.8,2.4,6.9
"Viljandi maakond","2009",176.9,44.2,23.3,54.3,..,27.1,21.3,0.9,5.8
"Viljandi maakond","2010",207.1,22.2,7.6,61.8,..,10.3,105.2,0.0,0.0
"Viljandi maakond","2011",119.7,8.7,4.8,20.0,..,27.3,57.8,0.0,1.1
"Viljandi maakond","2012",176.8,14.6,22.2,59.3,..,15.9,64.4,..,0.4
"Viljandi maakond","2013",225.7,15.6,49.8,69.8,..,7.9,82.3,..,0.3
"Viljandi maakond","2014",297.8,11.5,157.6,37.7,..,15.7,69.6,..,5.7
"Viljandi maakond","2015",301.8,10.6,185.6,44.7,..,8.8,51.8,..,0.3
"Viljandi maakond","2016",226.9,0.3,149.4,37.7,..,6.9,29.6,0.8,2.2
"Viljandi maakond","2017",195.7,2.7,84.3,35.3,..,9.3,64.2,..,..
"Viljandi maakond","2018",148.8,0.2,86.2,32.3,..,5.9,19.2,5.1,..
"Viljandi maakond","2019",134.6,5.1,78.2,30.3,..,12.9,7.0,1.2,..
"Viljandi maakond","2020",177.2,25.6,84.1,25.1,..,6.3,30.4,5.8,..
"Viljandi maakond","2021",124.0,14.1,57.7,27.2,..,1.7,20.8,0.0,2.5
"Viljandi maakond","2022",163.1,60.6,64.5,17.6,..,0.7,18.9,0.0,0.7
"Viljandi maakond","2023",191.8,125.8,33.4,18.7,..,1.2,1.2,10.2,1.5
"Võru maakond","1991",..,..,..,..,..,..,..,..,..
"Võru maakond","1992",..,..,..,..,..,..,..,..,..
"Võru maakond","1993",66.5,25.0,2.5,0.0,0.0,..,12.7,0.0,26.3
"Võru maakond","1994",164.5,26.9,90.7,5.0,5.6,..,..,7.2,29.1
"Võru maakond","1995",138.7,39.8,55.3,0.0,2.4,..,..,0.0,41.2
"Võru maakond","1996",47.8,8.5,16.2,0.0,1.9,..,..,3.0,18.2
"Võru maakond","1997",70.8,10.8,23.9,0.0,2.5,..,..,4.8,28.8
"Võru maakond","1998",104.1,0.5,20.7,3.6,..,4.2,75.1,0.0,0.0
"Võru maakond","1999",271.7,0.2,126.8,15.0,0.0,109.6,12.0,8.1,0.0
"Võru maakond","2000",7.2,0.0,1.3,1.0,0.0,2.5,2.4,0.0,0.0
"Võru maakond","2001",56.9,0.0,15.4,15.8,0.0,18.0,7.2,0.5,0.0
"Võru maakond","2002",118.9,0.7,17.7,54.6,..,13.0,12.5,15.9,4.5
"Võru maakond","2003",80.1,0.0,20.0,14.7,..,7.6,3.0,8.2,26.6
"Võru maakond","2004",64.2,0.0,27.8,20.1,..,9.8,2.9,0.0,3.6
"Võru maakond","2005",145.8,0.0,10.1,12.8,..,5.6,108.0,4.7,4.6
"Võru maakond","2006",597.3,3.5,63.7,47.5,..,30.7,368.2,14.3,69.4
"Võru maakond","2007",74.6,10.4,..,4.5,..,14.1,21.1,0.9,23.6
"Võru maakond","2008",59.6,10.3,9.2,2.0,..,14.3,10.1,4.1,9.6
"Võru maakond","2009",81.7,13.4,26.2,1.1,..,21.5,12.8,6.0,0.7
"Võru maakond","2010",146.0,7.8,6.3,4.2,..,8.7,108.7,0.0,10.3
"Võru maakond","2011",52.3,2.6,3.3,6.1,..,17.9,19.0,0.0,3.4
"Võru maakond","2012",76.5,9.5,14.4,19.0,..,11.6,15.3,0.2,6.5
"Võru maakond","2013",48.0,0.1,11.7,12.6,..,11.3,11.8,..,0.5
"Võru maakond","2014",89.1,3.0,35.2,6.1,..,30.9,12.7,1.2,..
"Võru maakond","2015",57.7,0.4,17.3,5.3,..,22.4,10.9,..,1.4
"Võru maakond","2016",270.3,..,17.2,7.8,..,4.3,239.9,..,1.1
"Võru maakond","2017",151.6,0.7,78.7,6.4,..,12.4,52.4,..,1.0
"Võru maakond","2018",81.3,8.0,16.9,9.9,..,22.7,19.7,1.6,2.6
"Võru maakond","2019",137.4,34.1,31.6,3.3,..,16.8,49.9,0.2,1.5
"Võru maakond","2020",140.1,23.8,28.0,7.3,..,15.6,64.3,0.3,0.8
"Võru maakond","2021",79.2,29.1,11.2,2.9,..,13.5,18.8,1.1,2.7
"Võru maakond","2022",270.3,228.6,10.3,1.7,..,12.0,16.7,0.0,0.9
"Võru maakond","2023",765.2,256.7,8.7,2.8,..,3.9,493.1,0.0,0.0
